name,code,hex,family,temperature,tonality
touch of spring-n,3226,#E9E1BD,greens,warm,light
dry moss,7810,#DFD6A9,greens,warm,light
chinese tea,7809,#D0C38F,greens,warm,light
young green,7808,#BFB278,greens,warm,medium
sweet celery,7807,#B4A464,greens,warm,medium
greenery,7806,#A69858,greens,warm,medium
asparagus,7805,#9A8B4A,greens,warm,medium
stately garden,7827,#EFE6BF,greens,warm,light
hermit shack,7826,#ECE1B2,greens,warm,light
meadow grass,7825,#E1D69B,greens,warm,light
garden frolic,7824,#D9CB87,greens,warm,light
italian olive,7823,#D5C67C,greens,warm,light
spring beauty,7822,#C2B25D,greens,warm,medium
kitchen garden,7821,#A1953E,greens,warm,medium
bamboo green-n,9855,#807E3C,greens,warm,medium
herb butter-n,9856,#EBD981,greens,warm,light
lime burst-n,9857,#E1C432,greens,warm,medium
mossy ground-n,9858,#AA9342,greens,warm,medium
relish green-n,9859,#A38631,greens,warm,medium
gherkin green-n,9860,#937A36,greens,warm,medium
raw mango-n,9861,#84773C,greens,warm,dark
pickled olive-n,9862,#756B3B,greens,warm,dark
verde oliva-n,9863,#66623D,greens,warm,dark
cream caress,7835,#F7F0D8,yellows,warm,light
gold gleam,7834,#F9EFC8,yellows,warm,light
sunkissed,7833,#F9ECB9,yellows,warm,light
golden apple,7832,#F4E199,yellows,warm,light
lemonade,7830,#EDCD61,yellows,warm,medium
yellow moss-n,9864,#D1AC2E,greens,warm,dark
coconut palm-n,9865,#B2922D,greens,warm,dark
indian olive-n,9866,#95813A,greens,warm,medium
mild yellow,7844,#F2EDD7,yellows,warm,light
margarine,7843,#F3EACF,yellows,warm,light
yellow synergy,7842,#F1E7C5,yellows,warm,light
corn field,7841,#EDDEB1,yellows,warm,light
divine wine,7840,#DFCE99,greens,warm,light
musk melon,7839,#D2BF80,greens,warm,light
green beret,7838,#BDA65D,greens,warm,medium
salmon green,7837,#A38E41,greens,warm,medium
jasmine wisp-n,0943,#F1EAD6,greens,warm,light
cashmere-n,3119,#E9DEC1,greens,warm,light
banana cream,7850,#E2D4B3,greens,warm,light
pebble moss,7849,#D2C49F,greens,warm,light
countryside,0G15,#C3B38B,greens,warm,medium
ginger ale,7847,#B5A574,greens,warm,medium
olive oil,7846,#A39362,greens,warm,medium
green lawns,7845,#817344,greens,warm,dark
spirit island,7828,#F0E9CA,yellows,warm,light
brazen gold,7831,#F0D579,yellows,warm,light
mosambi yellow-n,9867,#F2D16F,yellows,warm,medium
lentil yellow-n,9868,#D0A61F,yellows,warm,dark
green warbler-n,9869,#BE9933,greens,warm,dark
mulligatawny-n,9870,#B2883E,yellows,warm,medium
oatmeal-n,9871,#A48039,yellows,warm,medium
olive tapenade-n,9872,#9F8048,greens,warm,medium
lemon pie,7859,#F5ECD0,off whites,warm,light
lime n' honey,7858,#F5E9C4,yellows,warm,light
yellow suds,7857,#F4E4B1,yellows,warm,light
goldilocks,7856,#ECD798,yellows,warm,light
pale cardamom-n,9873,#EAD18A,yellows,warm,light
inca ruins,7855,#E2CA7E,yellows,warm,light
sea kelp,7854,#D2B557,yellows,warm,medium
open range,7853,#BEA03E,yellows,warm,dark
sun screen,7868,#F7F2DA,off whites,warm,light
summer dew,7867,#F8F0CF,yellows,warm,light
butter scotch,7866,#F9EFC4,yellows,warm,light
wild yellow,7865,#FCECB3,yellows,warm,light
lemon burst,7864,#FEE795,yellows,warm,light
summer yellow,7863,#FEE27B,yellows,warm,medium
tangerine yellow-n,9874,#F2D15D,yellows,warm,medium
lazy daisy-n,9875,#F1C83A,yellows,warm,medium
soft honey,7876,#F7F2DE,off whites,warm,light
dollop,7875,#F8F1D5,yellows,warm,light
sunny sands,7874,#F9E9C0,yellows,warm,light
lemon sprig,7873,#FDEBB7,yellows,warm,light
saffron smile,7872,#FEE495,yellows,warm,light
happy canary-n,9876,#FEDC74,yellows,warm,medium
mid-day,7871,#FED774,yellows,warm,medium
yellow blossom-n,9877,#F5CB5A,yellows,warm,medium
soft linen,7884,#F9F0D8,off whites,warm,light
whipped cream,7883,#F9EECE,yellows,warm,light
solemn yellow,7882,#F4E0B4,yellows,warm,light
pineapple-n,0399,#F2D8A3,yellows,warm,light
honey mustard,7880,#EBCB8E,yellows,warm,light
natural tinge,7879,#DBB163,yellows,warm,medium
sun shadow,7878,#CFA452,yellows,warm,medium
ripe olive,7877,#BE9540,yellows,warm,medium
pale ivory,7892,#F3E8D1,off whites,warm,light
bamboo straw-n,9878,#E4CBA1,browns,warm,light
sands of thar-n,9879,#E2BD89,browns,warm,light
jaiphal dust-n,9880,#D4AE70,browns,warm,medium
wholegrain mustard-n,9881,#A87C46,browns,warm,medium
coffee almond-n,9882,#A8814A,browns,warm,medium
dark almond-n,9883,#86663D,browns,warm,dark
dried anjeer-n,9884,#7C5B3A,browns,warm,dark
wheat sprig,7891,#F0DFBE,browns,warm,light
sisal mat,7890,#EDD6AB,browns,warm,light
mid cream,0358,#E3C798,browns,warm,light
ginger root,7888,#D3B17A,browns,warm,medium
pine cone,7887,#C6A265,browns,warm,medium
botanica,7886,#BD9759,browns,warm,medium
gold mine,7885,#A98345,browns,warm,medium
military boots-n,9885,#7C5E39,browns,warm,dark
candle light,7900,#F7F0D7,off whites,warm,light
subtle tint,7899,#F9EECC,yellows,warm,light
autumn valley,7898,#FCEDBF,yellows,warm,light
cream custard,7897,#FDEAB5,yellows,warm,light
sunlit sand,7896,#FDD98B,yellows,warm,light
tons of sun,7895,#FAD074,yellows,warm,medium
sunny day,7894,#F9C455,yellows,warm,medium
mrig-n,K288,#CC993F,yellows,warm,dark
evening moon,7908,#F5EED7,yellows,warm,light
candle wick,7907,#F6EBCD,yellows,warm,light
eager yellow,7906,#F8E9C1,yellows,warm,light
peeping sun,7905,#FAE4AE,yellows,warm,light
morning dream,7904,#FBDA97,yellows,warm,light
maize stalk,7903,#F9CE76,yellows,warm,light
cheeky yellow,7902,#F6BE54,yellows,warm,medium
mustard wood-n,9886,#C4943B,yellows,warm,dark
moon year,7924,#F7ECD3,yellows,warm,light
liquid light,7915,#FAEFD3,yellows,warm,light
sundrenched,7914,#FCEBC0,yellows,warm,light
golden aura,7913,#FEE8B2,yellows,warm,light
yellow tulip,7912,#FEE19D,yellows,warm,light
creme anglaise-n,9887,#FEDD86,yellows,warm,light
ski valley,7911,#FED87A,yellows,warm,medium
billboard yellow-n,9888,#EDB438,yellows,warm,medium
summer sprinkle,7923,#FAEAC9,yellows,warm,light
wild honey,7922,#FEE7BC,yellows,warm,light
summer harvest,7921,#FEDDA2,yellows,warm,light
yellow metal,7920,#FED18C,yellows,warm,light
burnished sun,7919,#FEC267,yellows,warm,medium
empire yellow,7918,#F7AF43,yellows,warm,medium
bengal gram-n,9889,#EDA42E,yellows,warm,dark
jaisalmer-n,9890,#D3993C,yellows,warm,dark
shredded wheat,7931,#F6EAD2,yellows,warm,light
hearth,7930,#FAE4BC,yellows,warm,light
raffia,7929,#FBDDA9,yellows,warm,light
sun dial,7928,#F8D096,yellows,warm,light
chandan-n,9891,#F1BC70,yellows,warm,light
casablanca,7927,#EFBD74,yellows,warm,light
light ochre,7926,#E2A754,yellows,warm,dark
true ochre,7925,#D2953C,yellows,warm,dark
yellow gleam,7939,#F5E9D3,oranges,warm,light
desert sun,7938,#F8E1BE,oranges,warm,light
yellow iris,7937,#F8D6A6,oranges,warm,light
hacienda clay,7936,#EEC088,oranges,warm,light
yellow charm,7935,#E7B274,oranges,warm,light
grains of sand,7934,#D99E57,oranges,warm,medium
earthen mix,7933,#CA8C44,oranges,warm,medium
pretzels-n,K289,#A77548,oranges,warm,medium
corn cob,7947,#FAEBC9,yellows,warm,light
sunny side up,7946,#FEE7BA,yellows,warm,light
yellow scoop,7945,#FEE3A8,yellows,warm,light
sunspot,7944,#FED98F,yellows,warm,light
bright fire,7943,#FEC967,yellows,warm,medium
lily gold,7942,#FEBB39,yellows,warm,medium
sunny pumpkin-n,9892,#FEB73B,yellows,warm,medium
hobakjuk yellow-n,9893,#F29C32,yellows,warm,dark
shea butter gold-n,9894,#FED194,yellows,warm,light
jackfruit yellow-n,9895,#FECA74,yellows,warm,medium
marigold garland-n,9896,#FEBF69,yellows,warm,medium
afternoon glow-n,9897,#FAAA26,yellows,warm,dark
orange grove-n,9898,#E89125,oranges,warm,dark
mustard orange-n,9899,#CB8536,oranges,warm,dark
dusky tan-n,9900,#C27A3C,oranges,warm,medium
rustic earth-n,9901,#A2653E,oranges,warm,dark
honey dew,7956,#F8EDD5,yellows,warm,light
cream silk,7955,#FBE9C7,yellows,warm,light
dreamsicle,7954,#FCE2BB,oranges,warm,light
fairy glitter,7953,#FEDDA9,oranges,warm,light
martian sky,7952,#FECE8B,oranges,warm,light
orange spark,7951,#FEBA5E,oranges,warm,medium
orange appeal,7949,#FEA01C,oranges,warm,dark
golden slumber-n,9902,#D38B36,oranges,warm,dark
custard apple,7964,#F8EED9,oranges,warm,light
light chrome,7963,#FBEBCE,oranges,warm,light
kesar milk,7962,#FBE3BD,oranges,warm,light
peaches and cream,7961,#FED9A1,oranges,warm,light
mango shake,7960,#FEC882,oranges,warm,light
orange crush,7959,#FEB969,oranges,warm,medium
pumpkin harvest,7958,#FEA844,oranges,warm,medium
mellow melon-n,9903,#DB8E3B,oranges,warm,dark
peach melba,7971,#FAECD5,oranges,warm,light
nacho cheese,7970,#FCDEBB,oranges,warm,light
coral beach,7969,#FDD6AB,oranges,warm,light
milk toffee,7968,#F5C090,oranges,warm,light
warm glow,7967,#EFB27C,oranges,warm,light
walnut shell,7966,#DF9758,oranges,warm,medium
rich tan,7965,#C97D41,oranges,warm,medium
butterscotch nut-n,9904,#A96339,oranges,warm,dark
sand bed,7980,#F7EBD7,oranges,warm,light
apricot illusion,7979,#FAE8CE,oranges,warm,light
orange frost,7978,#FDE4C2,oranges,warm,light
mango duet,7977,#FEDBB0,oranges,warm,light
sunset cloud,7976,#FECC98,oranges,warm,light
roasted sesame,7975,#FEAF6C,oranges,warm,medium
marmalade toast-n,9905,#D37E35,oranges,warm,dark
aravalli rocks-n,9906,#AB6F44,oranges,warm,medium
marigold,7986,#FCDAB7,oranges,warm,light
fossil,7985,#FCD1A7,oranges,warm,light
sun-n-sand,7984,#F9C394,oranges,warm,light
canyon sun,7983,#EFAB77,oranges,warm,medium
mecca gold,7982,#E7975B,oranges,warm,medium
dusky saffron,7981,#D78143,oranges,warm,dark
caramel sauce-n,9907,#B96937,oranges,warm,medium
nut roast-n,9908,#965940,oranges,warm,dark
hint of peach-n,9909,#FCE2CB,oranges,warm,light
peach pie-n,9910,#FEBD8E,oranges,warm,light
pale pawpaw-n,9911,#FCAF83,oranges,warm,light
terracotta gold-n,9912,#DD9969,oranges,warm,medium
baked ochre-n,9913,#C57439,oranges,warm,dark
roasted almond-n,9914,#A8663F,oranges,warm,dark
red ant-n,9915,#895949,browns,warm,dark
lavang-n,9916,#6E4B45,browns,warm,dark
peachy glow-n,9917,#FED3A6,oranges,warm,light
posh peach-n,9918,#FEB97B,oranges,warm,light
mango mastani-n,9919,#FEAF77,oranges,warm,light
deccan earth-n,9920,#D5825C,oranges,warm,medium
orange tan-n,9921,#D36E44,oranges,warm,dark
tic tac tan-n,9922,#C86941,oranges,warm,dark
amber teak-n,9923,#AF5E3F,oranges,warm,dark
pecan pie-n,9924,#974F47,oranges,warm,dark
sandalwood skin-n,9925,#FECDA8,oranges,warm,light
ginger meringue-n,9926,#FEC294,oranges,warm,light
radiant peony-n,9927,#FDAF7E,oranges,warm,light
nutmeg sprinkle-n,9928,#B6715A,browns,warm,medium
burnished earth-n,9929,#9B634E,browns,warm,dark
muffin crust-n,9930,#8B543F,browns,warm,dark
toffee almond-n,9931,#825849,browns,warm,dark
walnut bark-n,9932,#7B594F,browns,warm,dark
peach petal-n,9933,#FED0AD,oranges,warm,light
sunshine peach-n,9934,#FECB9C,oranges,warm,light
nectarine blush-n,9935,#FEC48E,oranges,warm,light
peach bellini-n,9936,#FEBC85,oranges,warm,light
red rust-n,9937,#C76944,oranges,warm,medium
laterite brown-n,9938,#A95D4D,browns,warm,dark
brown seed-n,9939,#7A5144,browns,warm,dark
pinyon pine-n,9940,#664B43,browns,warm,dark
mehrangarh brown-n,9941,#C87949,oranges,warm,medium
roland gaross-n,9942,#C8733A,oranges,warm,dark
earthen hue-n,9943,#AD633A,oranges,warm,dark
burnt saffron-n,9944,#A8674B,oranges,warm,dark
muted auburn-n,9945,#A2583F,oranges,warm,dark
mahogany bay-n,9946,#864E43,oranges,warm,dark
rhode island red-n,9947,#7F4A46,reds,warm,dark
winery-n,9948,#754041,reds,warm,dark
simply sunset,7995,#FCE9D4,purples,warm,light
peach rose,7994,#FEE3C9,oranges,warm,light
melon sorbet,7993,#FED6B4,oranges,warm,light
sunset beach,7992,#FEBE98,oranges,warm,light
autumn pumpkin,7991,#FEA578,oranges,warm,light
vivid orange,7990,#F88E58,oranges,warm,dark
roasted orange-n,9949,#D46E3D,oranges,warm,dark
mudpie-n,9950,#835442,browns,warm,dark
pale dawn,8003,#F9E9D8,oranges,warm,light
bashful beige,8002,#FCD8BE,oranges,warm,light
peach flutter,8001,#FDCCAE,oranges,warm,light
perfect peach,8000,#F8B592,oranges,warm,light
orange silk,7999,#F0A27C,oranges,warm,medium
string of beads,7998,#E68D60,oranges,warm,medium
deep spice,7997,#CB6C42,oranges,warm,dark
simple sienna-n,9951,#B76038,oranges,warm,medium
flawless peach,8011,#F8DCC5,purples,warm,light
peach beach,8010,#F8D1B5,purples,warm,light
orange essence,8009,#F4C6A9,purples,warm,light
stoneware,8008,#EEB295,purples,warm,light
fawn dream,8007,#E19A79,purples,warm,medium
volcano,0578,#CD7B59,purples,warm,medium
earthy brown,8005,#AC644A,browns,warm,dark
rich teak-n,9952,#9A533D,browns,warm,dark
coral rocks,8019,#F7DCC6,pinks,warm,light
exotic spice,8018,#F4CCB1,pinks,warm,light
peach carnation,8017,#EFBE9F,pinks,warm,light
coral coast,8016,#DCA082,browns,warm,medium
grand canyon,8015,#CF8F71,browns,warm,medium
amber-n,5103,#B97555,browns,warm,medium
copper moon,8013,#AC6649,browns,warm,medium
derby day-n,9953,#965C4B,browns,warm,dark
ginger tan-n,9954,#A96655,browns,warm,dark
cappadocia coffee-n,9955,#A1685E,browns,warm,dark
saddle hide-n,9956,#9E5C4B,browns,warm,dark
caramello-n,9957,#94513F,browns,warm,dark
dried arecanut-n,9958,#835242,browns,warm,dark
acorn shell-n,9959,#834E42,browns,warm,dark
ripe tamarind-n,9960,#754D46,browns,warm,dark
cherry brown-n,9961,#6D4443,browns,warm,dark
rosy peach-n,9962,#FDD1BC,pinks,warm,light
sunrise ray-n,9963,#FAC9AD,pinks,warm,light
daisy peach-n,9964,#FCC3A1,pinks,warm,light
salmon sun-n,9965,#F7B093,pinks,warm,light
coral pearl-n,9966,#F5A181,pinks,warm,medium
faded salmon -n,9967,#DD9081,pinks,warm,medium
litchi skin-n,9968,#C26555,pinks,warm,medium
cherry tan-n,9969,#AF6156,pinks,warm,dark
touch of paprika,8027,#FBE7D7,pinks,warm,light
daylight,8026,#FEDDC9,pinks,warm,light
popsicle,8025,#FED1B9,pinks,warm,light
orange nectar,8024,#FDB69C,pinks,warm,light
carrot punch,8023,#F79E81,oranges,warm,medium
tropical peach,8022,#F2845F,oranges,warm,dark
saffron sun-n,9970,#D96D4D,oranges,warm,dark
russet tan-n,9971,#B8603E,oranges,warm,medium
rose bud,8035,#FBE2D6,pinks,warm,light
pink bib,8034,#FBD4C6,pinks,warm,light
pink crush,8033,#F9C5B5,pinks,warm,light
sugared peach,8032,#F3B3A5,pinks,warm,light
rosy coral,8031,#EC9D8D,pinks,warm,medium
coral cove,8030,#DC7F69,pinks,warm,medium
red earth,8029,#B9584B,pinks,warm,dark
tea rose blossom-n,9972,#AB665A,pinks,warm,dark
red fort sunset-n,9973,#B55F49,reds,warm,dark
ginger hair-n,9974,#A55A4C,reds,warm,dark
autumnal brown-n,9975,#A35444,reds,warm,dark
minaret red-n,9976,#A35C55,reds,warm,dark
cherry leather-n,9977,#925149,reds,warm,dark
viva la vino-n,9978,#90514F,reds,warm,dark
sienna cobble-n,9979,#7A4543,reds,warm,dark
fig shell-n,9980,#693E3F,reds,warm,dark
salsa,8061,#D44F45,reds,warm,dark
scarlet sun-n,9981,#C24C42,reds,warm,dark
russet rust-n,9982,#C05F54,reds,warm,medium
brick dust-n,9983,#B75E56,reds,warm,medium
rich prune-n,9984,#A25151,reds,warm,dark
burgundy brown-n,9985,#90504C,reds,warm,dark
lhasa temple-n,9986,#8D4A47,reds,warm,dark
fizzy cola-n,9987,#713F3C,reds,warm,dark
crimson flush,8051,#F9E1D9,pinks,warm,light
rosette,8050,#FDD8D0,pinks,warm,light
rose glow,8049,#FAC9C1,pinks,warm,light
pale rose,5206,#F9AFA9,pinks,warm,light
jaipur dreams,8047,#F3968F,pinks,warm,medium
coral island,8046,#ED7E71,pinks,warm,medium
rich maple-n,9988,#CB6755,pinks,warm,medium
ladakh rock-n,9989,#9A544C,browns,warm,dark
macaroon pink-n,9990,#E6AB9B,pinks,warm,medium
aboli-n,9991,#F4A094,pinks,warm,medium
guava pink-n,9992,#EE8486,pinks,warm,medium
coral blush-n,9993,#D06166,pinks,warm,medium
moroccan rose-n,9994,#B45259,pinks,warm,dark
bordeaux burgundy-n,9995,#9B4951,reds,warm,dark
deep rosewood-n,9996,#8E5054,reds,warm,dark
maroon mood-n,9997,#703E41,reds,warm,dark
pink flamingo,8059,#F7DDD8,pinks,cool,light
nursery pink,8058,#FACDCA,pinks,cool,light
ruddy pink,8057,#F9C5C4,pinks,cool,light
pink linen,8056,#F3B2AF,pinks,cool,light
rose mist,8055,#EA9897,pinks,warm,medium
raspberry souffle,8054,#E0817C,pinks,warm,medium
ginger pop,8053,#C65C51,pinks,warm,medium
red roof-n,9998,#B04844,reds,warm,dark
first crush,8067,#F9DDD8,pinks,cool,light
tinge of pink,8066,#FBD8D3,pinks,cool,light
spring rose,8065,#FDC7C5,pinks,cool,light
tinker bell,8064,#FAADAB,pinks,cool,light
pink candy,8063,#F29495,pinks,cool,medium
satin pink,8062,#EB7A77,pinks,warm,medium
jolokia red-n,9999,#D15C5D,pinks,warm,dark
ketchup red-n,K001,#AA4D4F,reds,warm,dark
summer pink,8083,#F7D4D2,purples,cool,light
rose debut,8082,#F6C1C4,purples,cool,light
desert bloom,8081,#F0B5B6,purples,cool,light
pink carnation,8080,#E5A3A5,purples,cool,medium
pink accent,8079,#D58488,purples,warm,medium
may fair,8078,#C66C6D,purples,warm,medium
geranium,0509,#B1554F,reds,warm,dark
burgundy rosso-n,K002,#AC5655,reds,warm,dark
pearly pink,9412,#F6EBE5,pinks,cool,light
strawberry whip,9411,#F7DEDB,pinks,cool,light
pink juice,9410,#F6C7C8,pinks,cool,light
pink essence,9409,#F3B7B9,pinks,cool,light
early bloom,9408,#E59BA0,pinks,cool,medium
fruit pink,9407,#DB878D,pinks,cool,medium
rose meadows,9406,#C7686A,pinks,warm,medium
rich tomato,9405,#AC4F49,reds,warm,dark
day dream,8091,#F8D9DB,pinks,cool,light
garden pink,8090,#FBCFD5,pinks,cool,light
ballet slippers,8089,#F6B9C2,pinks,cool,light
rose bouquet,8088,#F3ABB7,pinks,cool,light
wild pink,8087,#E891A0,pinks,cool,medium
young wine,8086,#DA727F,pinks,cool,medium
cherry crush-n,K003,#AF494F,reds,warm,dark
heady wine-n,K004,#A5464D,reds,warm,dark
pink dollop,8098,#FAD5DB,pinks,cool,light
pink chenille,8097,#F9C4D0,pinks,cool,light
climbing rose,8096,#F7B4C3,pinks,cool,light
azalea,8095,#EE91A8,pinks,cool,medium
watermelon sorbet-n,K005,#DD7B8D,pinks,cool,medium
crimson cranberry-n,K006,#B04C5B,pinks,cool,dark
magenta rush-n,K007,#9A4958,pinks,cool,dark
fine wine,8109,#81454F,reds,cool,dark
tinge of mauve,8107,#EED4D4,pinks,cool,light
daisy bunch,8106,#E5BEC0,pinks,cool,light
in vogue,8105,#D4AAAF,pinks,cool,medium
vintage rose,8104,#C59497,pinks,cool,medium
mauve medley,8103,#AF7779,pinks,warm,medium
bottled grape,8102,#A2696A,pinks,warm,medium
milan red,8101,#7F4C4F,pinks,warm,dark
gulkand-n,K008,#7C4141,pinks,warm,dark
graceful pink,8115,#F4D8D8,pinks,cool,light
merrie pink,0418,#EAC2C7,pinks,cool,light
bed of roses,8113,#DDABB4,pinks,cool,medium
wild rose,8112,#C98E9A,pinks,cool,medium
bougainvillea pink-n,K009,#C7898F,pinks,cool,medium
rose water,8111,#C18089,pinks,cool,medium
wild berry,8110,#B16E76,pinks,cool,medium
bold bordeaux-n,K010,#7A444B,pinks,cool,dark
pink plume,0P13,#F1D1D5,pinks,cool,light
peach blossom,8122,#EDC4CB,pinks,cool,light
party pink,8121,#E9B6BF,pinks,cool,light
rose lace,8120,#DA9FAA,pinks,cool,medium
petal pink,8119,#D08E9A,pinks,cool,medium
fox glove pink,5155,#B76670,reds,cool,medium
velvet dream,8117,#983F49,reds,warm,dark
burnt burgundy-n,K011,#924651,pinks,cool,dark
pink wink-n,K012,#E9CCD0,pinks,cool,light
pink fog-n,K013,#F2C4CE,pinks,cool,light
petal dew-n,K014,#E9AABC,pinks,cool,light
periwinkle pink-n,K015,#E592A4,pinks,cool,medium
mediterranean pink-n,K016,#CA8A9D,pinks,cool,medium
mulberry blush-n,K017,#A86571,pinks,cool,medium
shiraz-n,K018,#9F5A71,pinks,cool,dark
wild prune,8125,#953E4A,reds,warm,dark
first dawn,8131,#F4DEE3,pinks,cool,light
rose rhapsody,8130,#F2D2DD,pinks,cool,light
maiden pink,8129,#F0BED2,pinks,cool,light
touch of rouge,8128,#EBAEC7,pinks,cool,light
rich desire,8127,#E191B2,pinks,cool,medium
dragonfruit pink-n,K019,#C9638A,pinks,cool,medium
fuchsia fever-n,K020,#B15675,pinks,cool,dark
merlot rose-n,K021,#84485C,pinks,cool,dark
pink tinge-n,K022,#EFD7DA,pinks,cool,light
pink eternity,8139,#F4DCE1,pinks,cool,light
baby blush,8138,#F2CFD9,pinks,cool,light
pixie dust,8137,#EFBFCF,pinks,cool,light
quiet hush,8136,#DDAEC2,pinks,cool,light
valentine,8135,#D195AF,pinks,cool,medium
damask rose,8134,#B2708E,pinks,cool,medium
